WKT,fid
"SRID=3857;POLYGON ((-174193.30686435653 744454.2942760966, -174228.4727314047 744449.3067487885, -174234.65094772 744492.7708843383, -174199.47396822876 744497.7583148013, -174193.30686435653 744454.2942760966))",1
"SRID=3857;POLYGON ((-174594.69160158836 744505.0658421754, -174593.2444815844 744499.4395731692, -174582.94735428467 744502.0958203805, -174579.21817959342 744487.6264159549, -174593.2889313439 744483.9950801616, -174595.9606222189 744483.3113887738, -174637.63867945573 744472.5630314838, -174641.3789665837 744487.032431932, -174599.58968483636 744497.8031685215, -174601.03680484032 744503.4295381482, -174594.69160158836 744505.0658421754))",2
"SRID=3857;POLYGON ((-174546.64611622615 744440.2059892595, -174579.8861273401 744431.3629633944, -174582.35739384385 744430.7129381018, -174604.46544309283 744424.828743002, -174606.61394827176 744424.2571360883, -174649.85035002936 744412.7578697756, -174654.3254597669 744429.5809123704, -174607.90519378206 744441.9207097223, -174606.6361731515 744437.13497463, -174586.67662908777 744442.4475639458, -174588.00131202635 744447.4014251811, -174586.56530446542 744447.7824294205, -174584.2832497781 744448.3988902527, -174551.1656757232 744457.2082533998, -174546.64611622615 744440.2059892595))",3
"SRID=3857;POLYGON ((-174539.78883972115 744408.9808905902, -174571.89337971926 744400.3844135581, -174574.40919609432 744399.7007232115, -174644.09520733004 744381.0396992965, -174648.55910451905 744397.6833176364, -174613.31535027683 744407.1316102368, -174615.78661678056 744416.3444480035, -174605.73446371706 744419.0343566327, -174603.24097233356 744409.7093339062, -174602.7733488463 744409.8327066234, -174600.62494377288 744410.4042125924, -174599.65645958742 744410.67323366, -174598.00891521852 744404.5537858942, -174578.9955303487 744409.6421038406, -174580.542862532 744415.4142135868, -174578.43890722436 744415.9858204084, -174575.9676407206 744416.6470337431, -174544.13029985112 744425.1761824429, -174539.78883972115 744408.9808905902))",6
"SRID=3857;POLYGON ((-174515.94414636068 744381.5440757227, -174563.277234223 744368.2739575367, -174566.8950842856 744367.2540167137, -174633.37510652616 744348.6041920305, -174638.20641501682 744365.8082186363, -174593.22215659285 744378.4283115594, -174591.56349978092 744372.5329338562, -174571.14754477848 744378.2713742931, -174572.69487696807 744383.8080244331, -174570.33483498116 744384.4693381684, -174567.8190186061 744385.1754047388, -174520.66413022898 744398.400673384, -174515.94414636068 744381.5440757227))",7
"SRID=3857;POLYGON ((-174248.10951414992 744553.8201446981, -174298.96023988922 744544.5624300992, -174300.77477120108 744554.5150252089, -174249.92394534367 744563.7615532401, -174248.10951414992 744553.8201446981))",8
"SRID=3857;POLYGON ((-174348.93158119195 744590.9742910264, -174356.85745394995 744589.5621525935, -174361.3771135651 744614.7686778759, -174361.6776500039 744616.4946928441, -174308.74519383037 744625.9765878746, -174303.92509788825 744599.043942176, -174348.93158119195 744590.9742910264))",9
"SRID=3857;POLYGON ((-174417.3152344807 744650.6903424154, -174427.1779755041 744648.9078810972, -174434.04646455133 744647.675055724, -174436.12809487374 744659.2416016252, -174404.59129043669 744664.9352181866, -174366.23064693552 744671.8616612209, -174366.0969973216 744671.0771723082, -174362.95778307115 744671.6487817924, -174361.25457638793 744662.200443664, -174364.3937906384 744661.6401233332, -174364.14891650763 744660.2839243999, -174402.49844756574 744653.3686710852, -174417.3152344807 744650.6903424154))",10
"SRID=3857;POLYGON ((-174421.06653393988 744617.1335320795, -174411.24824268225 744619.0164850763, -174406.35015943422 744619.9579111951, -174403.78979318787 744606.6205050572, -174456.21017611463 744596.5446281628, -174458.77044224917 744609.8820318521, -174421.06653393988 744617.1335320795))",14
"SRID=3857;POLYGON ((-174303.33503733564 744485.8555513415, -174303.82488570895 744488.6687354705, -174305.68396688582 744499.6075982143, -174242.4544835244 744510.3784380596, -174240.01655434343 744496.0659690531, -174303.24603770487 744485.295232811, -174303.33503733564 744485.8555513415))",16
"SRID=3857;POLYGON ((-174944.84708933625 745015.3178915739, -174935.2179097832 745015.362745711, -174935.08436028115 745008.0551503828, -174931.35508547805 745008.1223811816, -174931.39963534934 745010.1062441932, -174926.0006914031 745010.2070400004, -174925.87825434408 745003.8409788605, -174931.25497340423 745003.7400822693, -174931.28831072702 745005.813552585, -174935.05092284654 745005.7351334589, -174934.26053803446 744962.5171379164, -174930.76512503723 744962.5843686593, -174930.80967490855 744965.3079698323, -174923.99694828113 744965.4312430031, -174923.8632986609 744958.4599088174, -174930.73168760265 744958.32534654, -174930.76512503723 744960.1971229183, -174934.21598816317 744960.1298921783, -174933.44792834896 744917.505921242, -174929.94140290236 744917.5732527315, -174929.96362778213 744918.8284607937, -174926.1787907828 744918.8957922785, -174926.0006914031 744909.0887807565, -174930.3532639698 744909.0103617623, -174930.46458859215 744915.3203695237, -174933.40337847767 744915.2643271504, -174933.11395447562 744899.2370177347, -174941.32935134746 744899.0800789854, -174941.5631130352 744911.5433557492, -174963.9160364086 744911.1398708662, -174988.38412764444 744910.6915319349, -174988.1503659567 744897.7799165322, -174997.1783725204 744897.611890268, -174997.5011338389 744915.6454354337, -175000.7851101463 744915.5893930665, -175000.70712284042 744911.8010901605, -175007.19708814932 744911.6778171102, -175007.34185020626 744919.7363271122, -175001.02998427075 744919.8596001806, -175001.00775939098 744918.6491453573, -174997.55679615325 744918.7051877276, -174998.32495607928 744960.8808202542, -175001.67560702589 744960.8134887116, -175001.64226970944 744959.1323170093, -175007.9540355268 744959.0202321731, -175008.05424771245 744964.5457525784, -175001.8538065174 744964.6578374193, -175001.82036908282 744963.1336045312, -174998.36950595689 744963.1896469534, -174999.1375657711 745005.5893827351, -175002.49942927258 745005.5333402696, -175002.46599183796 745003.9082096542, -175008.4772212166 745003.7961247329, -175008.5774333959 745009.3104613113, -175002.5216541523 745009.411257117, -175002.49942927258 745007.9206887792, -174999.18211564238 745007.9766304516, -174999.93906301988 745049.2668398176, -174989.90913484246 745049.4574448222, -174989.17451245652 745008.9853948462, -174989.12996258523 745006.4747730268, -174987.5158556446 744918.178429727, -174964.21667295916 744918.6043920948, -174943.2552072817 744918.9853996058, -174944.70232728563 745006.7998394769, -174944.74687715695 745009.4000687798, -174944.84708933625 745015.3178915739))",17
"SRID=3857;POLYGON ((-175097.53281607523 744801.9856769218, -175112.57215212297 744801.9296346706, -175155.26314331108 744801.8735924133, -175155.28536819082 744814.7178538882, -175136.59484475135 744814.762707861, -175126.91010299578 744814.7738961523, -175092.2674216374 744814.852415807, -175092.24519675763 744802.0080535053, -175097.53281607523 744801.9856769218))",30
"SRID=3857;POLYGON ((-175105.09147774888 744833.7265680805, -175105.09147774888 744821.5098546828, -175122.74674225185 744821.5211437768, -175122.73562980883 744833.737756382, -175105.09147774888 744833.7265680805))",32
"SRID=3857;POLYGON ((-175253.70294348017 744983.8795850058, -175282.6905942194 744983.4424338057, -175282.83525616452 744993.2046045078, -175282.89091847884 744997.3290669621, -175253.90336785142 744997.766218273, -175253.70294348017 744983.8795850058))",33
"SRID=3857;POLYGON ((-175188.51426686806 745174.3481148666, -175198.27699592948 745174.3257381311, -175198.28810836622 745181.3868083057, -175188.53659185962 745181.4091850442, -175188.51426686806 745174.3481148666))",34
"SRID=3857;POLYGON ((-175177.137430866 745173.933439686, -175177.24875548834 745162.7366061026, -175182.99278574463 745162.7926487286, -175182.8815612341 745173.9894823171, -175177.137430866 745173.933439686))",35
"SRID=3857;POLYGON ((-175183.81660799132 745145.7116458066, -175208.3180365436 745145.6332264803, -175208.36258642125 745158.8922435114, -175179.74234698364 745158.9819520201, -175179.69779711234 745145.7228341716, -175179.72002199208 745145.7228341716, -175183.81660799132 745145.7116458066))",36
"SRID=3857;POLYGON ((-174945.06963847543 745308.2167982226, -174945.11418834675 745293.4221130307, -174972.52106946812 745293.5341985439, -174972.5099570251 745296.1792958082, -174974.13517640874 745296.1905850002, -174974.75857427783 745296.1905850002, -174974.72523696139 745304.854332762, -174972.47651959048 745304.8431443707, -174972.4654071538 745308.3064061794, -174945.06963847543 745308.2167982226))",38
"SRID=3857;POLYGON ((-174938.12336234597 745333.3676109322, -174938.2012495337 745322.8656350434, -174967.50054915473 745323.0898061902, -174967.42266196068 745333.5694053277, -174938.12336234597 745333.3676109322))",39
"SRID=3857;POLYGON ((-175375.66457558572 745397.6458151756, -175375.63123826924 745391.817559216, -175375.4753637693 745368.3367154852, -175375.441926341 745363.3379166671, -175375.36403914695 745350.7849291987, -175391.98404470706 745350.6728435686, -175392.34024346017 745405.2111991502, -175375.72023790004 745405.3232848919, -175375.66457558572 745397.6458151756))",40
"SRID=3857;POLYGON ((-175329.33340934344 745392.4340306631, -175346.76602459542 745392.2659020872, -175356.98516458928 745392.1650047813, -175357.0408269036 745397.9932607714, -175357.06315189516 745399.8761397708, -175320.3499526574 745400.2348745939, -175320.2720654633 745392.5124503423, -175329.33340934344 745392.4340306631))",41
"SRID=3857;POLYGON ((-175346.24283890563 745349.7761585232, -175328.81022365368 745350.0451841907, -175320.3165152228 745350.1796466331, -175320.19407815742 745341.8633369494, -175356.18366734046 745341.291720481, -175356.30610440584 745349.6193192744, -175346.24283890563 745349.7761585232))",42
"SRID=3857;POLYGON ((-175362.31743389624 745335.6876417168, -175390.10273864414 745335.407427716, -175390.24750070108 745349.6753620916, -175362.46209583504 745349.9554753694, -175362.31743389624 745335.6876417168))",43
"SRID=3857;POLYGON ((-174248.465712903 744697.9313338707, -174330.57493152033 744680.7495796981, -174332.94608595027 744692.0695874627, -174250.83676722113 744709.2513451796, -174248.465712903 744697.9313338707))",50
"SRID=3857;POLYGON ((-174200.40911509146 744645.8369555852, -174199.96381659576 744643.0013868816, -174199.01755729003 744643.1470358471, -174196.10099229057 744624.485929165, -174222.4058397181 744620.3837704464, -174223.76396009125 744629.0923660963, -174225.9346901499 744628.7561136244, -174227.48202233948 744638.6975357402, -174226.44666328482 744638.8656620063, -174226.89196178687 744641.7012304964, -174200.40911509146 744645.8369555852))",51
"SRID=3857;POLYGON ((-174160.4899268522 744637.2180649402, -174159.7774292342 744633.1495708403, -174151.29493335815 744634.6402297913, -174150.37099904398 744629.3500991812, -174154.14472360656 744628.6888832904, -174153.29867648016 744623.8358007906, -174191.6594200931 744617.1223438286, -174193.44051397042 744627.25426658, -174185.43665390654 744628.6552177229, -174186.14905141274 744632.7237114898, -174180.22682167124 744633.7548455, -174179.55897403634 744629.9328964907, -174165.91119579 744632.3202286571, -174166.57904342486 744636.1533660876, -174160.4899268522 744637.2180649402))",52
"SRID=3857;POLYGON ((-174164.01877729033 744675.313694803, -174163.39537941493 744671.9177033455, -174160.0000784852 744672.5453549639, -174158.7421702977 744665.652476632, -174162.1263587844 744665.0249258876, -174161.31364898072 744660.5529466858, -174197.81531141684 744653.8505727021, -174200.52043972013 744668.6114198051, -174164.01877729033 744675.313694803))",53
"SRID=3857;POLYGON ((-174582.43528103794 744641.6115228335, -174583.81562629083 744649.0199652934, -174527.23198272564 744660.9676179923, -174526.44159791988 744656.6189115982, -174522.54543629193 744657.3250824709, -174521.35430285544 744650.7684586557, -174554.82807566345 744644.6825489039, -174542.05978197177 744574.4762628546, -174553.0358693431 744572.4813281472, -174557.54431640342 744597.2731747563, -174567.78568128333 744595.4014107648, -174569.58900004037 744605.3091612853, -174559.65938415407 744607.1248835624, -174564.74667921852 744635.1109429828, -174562.55362416196 744635.5144258359, -174563.82264479253 744642.4970080465, -174579.35172910182 744639.6726277709, -174582.43528103794 744641.6115228335))",54
"SRID=3857;POLYGON ((-174208.4686374697 744675.3025065338, -174241.8199732123 744669.7546387282, -174243.85705365706 744682.060925279, -174210.51693046928 744687.6087943225, -174208.4686374697 744675.3025065338))",55
"SRID=3857;POLYGON ((-174223.48564852588 744580.8535632163, -174265.36403002217 744573.5908795339, -174267.36777314416 744585.1013677918, -174225.47827921115 744592.3640529973, -174223.48564852588 744580.8535632163))",56
"SRID=3857;POLYGON ((-174227.86044597233 744600.1423058524, -174274.81501008998 744592.2295924122, -174276.763090904 744603.796126628, -174229.8085267863 744611.7089425303, -174227.86044597233 744600.1423058524))",57
"SRID=3857;POLYGON ((-174215.21458934603 744653.8281961789, -174227.73800890695 744651.3961100321, -174229.8530766576 744662.3013396208, -174217.32965709668 744664.7222379901, -174215.21458934603 744653.8281961789))",59
"SRID=3857;POLYGON ((-174390.7988502452 744177.0236427602, -174390.6652006313 744176.2166837966, -174372.69828725286 744178.8056855868, -174369.80394713316 744176.5753098254, -174368.08962800688 744172.4732853771, -174368.45693920302 744168.0685760698, -174370.1824708778 744164.291512923, -174388.68378249454 744161.3326977274, -174388.4833581296 744160.1222596321, -174383.14007649772 744160.974071798, -174381.78195612453 744152.489716778, -174407.4410806851 744148.3876941289, -174409.03296274596 744158.3065521392, -174402.79908412267 744159.3041127529, -174403.15528287576 744161.5231988543, -174406.11639774652 744161.0524897235, -174407.84182930947 744171.8792039698, -174404.52451568563 744172.405954808, -174404.75827737336 744173.9190783635, -174410.46897031317 744173.0112243814, -174412.0385273825 744182.8292925577, -174385.83399225248 744187.0097357424, -174384.40909712826 744178.0547682111, -174390.7988502452 744177.0236427602))",62
"SRID=3857;POLYGON ((-174336.77547282085 744429.0093054072, -174449.03003817928 744407.9272835853, -174453.05984942114 744429.3455566555, -174340.7940715142 744450.4387749266, -174336.77547282085 744429.0093054072))",64
"SRID=3857;POLYGON ((-174135.13133873677 744625.0462491103, -174143.29107329427 744623.4996491456, -174151.69568198256 744667.8156418827, -174143.54705986174 744669.3623438913, -174135.13133873677 744625.0462491103))",65
"SRID=3857;POLYGON ((-174156.14846672857 744639.0673530522, -174168.43812460176 744636.9266662459, -174172.12284953354 744658.1320485068, -174159.83309154853 744660.2727361338, -174156.14846672857 744639.0673530522))",66
"SRID=3857;POLYGON ((-174282.27345958436 744671.0995488385, -174280.22516658474 744658.5915736404, -174248.92212384174 744663.691103398, -174247.5751159053 744655.430939901, -174290.8116177747 744648.3811256868, -174291.99163876817 744655.5990662184, -174291.59089014377 744655.6662965853, -174293.93971958212 744670.1020797195, -174298.0696428978 744669.4295742749, -174299.43887570768 744677.8243014683, -174264.55142033033 744683.5179199576, -174263.03742546352 744674.2378069487, -174282.27345958436 744671.0995488385))",67
"SRID=3857;POLYGON ((-174521.165091039 744601.5208798078, -174541.30273448245 744598.236977009, -174543.48457698416 744611.6304231727, -174523.3469335407 744614.9143267666, -174521.165091039 744601.5208798078))",68
"SRID=3857;POLYGON ((-174411.24824268225 744619.0164850763, -174421.06653393988 744617.1335320795, -174422.02390568863 744622.0985973394, -174422.70296587204 744621.9641366816, -174426.9998761244 744644.3126307592, -174426.32081594097 744644.4471922602, -174427.1779755041 744648.9078810972, -174417.3152344807 744650.6903424154, -174416.52474956308 744646.5542137813, -174415.89023924465 744646.6775870308, -174411.54877912102 744624.0375925696, -174412.18328943313 744623.9143201722, -174411.24824268225 744619.0164850763))",70
"SRID=3857;POLYGON ((-174348.93158119195 744590.9742910264, -174343.07612620151 744558.2809269576, -174354.35285012974 744556.2635155541, -174364.72776451174 744614.1634034318, -174361.3771135651 744614.7686778759, -174356.85745394995 744589.5621525935, -174348.93158119195 744590.9742910264))",71
"SRID=3857;POLYGON ((-174120.63751336397 744682.0384479429, -174140.79748179897 744677.9700513213, -174143.6027221761 744691.8117532821, -174123.44275374108 744695.8914400047, -174120.63751336397 744682.0384479429))",73
"SRID=3857;POLYGON ((-174115.82852986487 744656.4284087532, -174135.2426633591 744652.5505168549, -174139.1166001073 744671.9513689396, -174119.7135790498 744675.8405512669, -174115.82852986487 744656.4284087532))",74
"SRID=3857;POLYGON ((-174110.87478430255 744788.2559308544, -174135.07567642242 744783.0778699112, -174137.36884354646 744793.8039114362, -174113.1679514329 744798.9819733917, -174110.87478430255 744788.2559308544))",75
"SRID=3857;POLYGON ((-174953.69689641474 745038.9443349601, -174981.70495052545 745038.7538307876, -174981.80516270478 745053.122383071, -174953.83054602865 745053.312988089, -174953.69689641474 745045.344065991, -174953.69689641474 745038.9443349601))",77
"SRID=3857;POLYGON ((-174935.2179097832 745015.362745711, -174944.84708933625 745015.3178915739, -174945.03630115266 745048.9418739114, -174933.84867697337 745049.0091047604, -174933.67057759364 745015.3739340431, -174935.2179097832 745015.362745711))",78
"SRID=3857;POLYGON ((-174921.4365820348 745106.9208017868, -174921.44769447148 745103.8722273441, -174921.4588069145 745101.3280361259, -174941.90819934523 745101.3727895375, -174944.6132275367 745101.3840786829, -174956.73599859138 745101.4176437448, -174956.71367359348 745108.8933792184, -174921.42546959175 745108.8037715872, -174921.4365820348 745106.9208017868))",79
"SRID=3857;POLYGON ((-175015.32338527223 745086.197151474, -175015.35682270685 745081.2096675227, -175024.67425326625 745081.2657100592, -175024.69647814598 745078.0378210848, -175040.15878770425 745078.1274286658, -175040.11423783292 745086.3429024118, -175025.17521407627 745086.2531940156, -175015.32338527223 745086.197151474))",80
"SRID=3857;POLYGON ((-174987.98337902004 745086.5894492916, -174988.01671634283 745081.5571111134, -174998.22474389998 745081.6243420023, -174998.23585633666 745078.95687839, -175014.78908714576 745079.0689634648, -175014.74453727447 745086.7575769303, -174999.7164137752 745086.6679693353, -174990.087334334 745086.6007384403, -174987.98337902004 745086.5894492916))",81
